,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
155,0.166412,-0.606874,1.19865,1.65816,deg,ALU,0.139941,none,0.125954,CLAS,e-,10.6,p,0.93827208816
156,0.167617,-0.557114,1.17526,2.12895,deg,ALU,-0.0774756,none,0.128495,CLAS,e-,10.6,p,0.93827208816
157,0.164115,-0.5641,1.1982,2.47441,deg,ALU,0.291823,none,0.0813648,CLAS,e-,10.6,p,0.93827208816
158,0.159002,-0.55621,1.20387,2.72778,deg,ALU,0.0315649,none,0.110745,CLAS,e-,10.6,p,0.93827208816
159,0.159884,-0.574394,1.22755,2.92211,deg,ALU,-0.0188872,none,0.115662,CLAS,e-,10.6,p,0.93827208816
160,0.15774,-0.575641,1.21566,3.11912,deg,ALU,-0.028082,none,0.118077,CLAS,e-,10.6,p,0.93827208816
161,0.167692,-0.594555,1.20041,3.3285,deg,ALU,-0.160986,none,0.109496,CLAS,e-,10.6,p,0.93827208816
162,0.16505,-0.588704,1.19744,3.57612,deg,ALU,0.100387,none,0.0951628,CLAS,e-,10.6,p,0.93827208816
163,0.158671,-0.545768,1.19243,3.84603,deg,ALU,0.128846,none,0.103068,CLAS,e-,10.6,p,0.93827208816
164,0.165294,-0.602608,1.19505,4.33015,deg,ALU,0.144881,none,0.137362,CLAS,e-,10.6,p,0.93827208816
165,0.161085,-0.60654,1.19181,4.65788,deg,ALU,0.198461,none,0.102488,CLAS,e-,10.6,p,0.93827208816
166,0.164418,-0.612102,1.18063,4.86366,deg,ALU,-0.225531,none,0.142514,CLAS,e-,10.6,p,0.93827208816
167,0.160298,-0.593382,1.21705,5.06493,deg,ALU,-0.210363,none,0.123943,CLAS,e-,10.6,p,0.93827208816
168,0.161484,-0.577721,1.20037,5.24751,deg,ALU,-0.0701404,none,0.0863065,CLAS,e-,10.6,p,0.93827208816
169,0.159555,-0.559169,1.19264,5.43444,deg,ALU,-0.142176,none,0.0764416,CLAS,e-,10.6,p,0.93827208816
170,0.17074,-0.556745,1.18503,5.616,deg,ALU,-0.26477,none,0.0679061,CLAS,e-,10.6,p,0.93827208816
171,0.160564,-0.581078,1.23589,5.82877,deg,ALU,-0.0884502,none,0.0664479,CLAS,e-,10.6,p,0.93827208816
172,0.146884,-0.580397,1.21776,6.00655,deg,ALU,-0.0709303,none,0.0267092,CLAS,e-,10.6,p,0.93827208816
173,0.163489,-0.506383,1.22674,6.17454,deg,ALU,-0.00569041,none,0.0362944,CLAS,e-,10.6,p,0.93827208816
174,0.23729,-0.614597,1.24216,0.236809,deg,ALU,0.0690111,none,0.0807899,CLAS,e-,10.6,p,0.93827208816
175,0.227067,-0.626021,1.19352,0.913996,deg,ALU,-0.0101473,none,0.173151,CLAS,e-,10.6,p,0.93827208816
