,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
142,0.126,-0.859,1.13,352.7,deg,deltad4SigLU,-0.0192694,nb GeV^-4,0.0104503,0.00472629,CLAS,e-,5.88,p,0.93827208816
143,0.126,-1.398,1.127,7.3,deg,deltad4SigLU,-0.000655396,nb GeV^-4,0.00301079,0.0015955,CLAS,e-,5.88,p,0.93827208816
144,0.126,-1.39,1.128,21.9,deg,deltad4SigLU,0.000549994,nb GeV^-4,0.00391986,0.000873416,CLAS,e-,5.88,p,0.93827208816
145,0.126,-1.382,1.13,36.8,deg,deltad4SigLU,0.0013822,nb GeV^-4,0.00206705,0.000583457,CLAS,e-,5.88,p,0.93827208816
146,0.125,-1.379,1.131,51.8,deg,deltad4SigLU,0.00168306,nb GeV^-4,0.00170455,0.00170663,CLAS,e-,5.88,p,0.93827208816
147,0.125,-1.377,1.132,66.9,deg,deltad4SigLU,0.0040289,nb GeV^-4,0.00140921,0.00100013,CLAS,e-,5.88,p,0.93827208816
148,0.125,-1.376,1.132,82.0,deg,deltad4SigLU,0.00464628,nb GeV^-4,0.00338381,0.000431469,CLAS,e-,5.88,p,0.93827208816
149,0.125,-1.377,1.133,97.1,deg,deltad4SigLU,0.00265637,nb GeV^-4,0.00266922,0.000557305,CLAS,e-,5.88,p,0.93827208816
150,0.125,-1.377,1.132,157.3,deg,deltad4SigLU,-0.00719878,nb GeV^-4,0.0153494,0.0018957,CLAS,e-,5.88,p,0.93827208816
151,0.125,-1.377,1.133,172.5,deg,deltad4SigLU,0.00272545,nb GeV^-4,0.00245686,0.000955398,CLAS,e-,5.88,p,0.93827208816
152,0.125,-1.377,1.133,262.9,deg,deltad4SigLU,-0.00487677,nb GeV^-4,0.00690905,0.0012457,CLAS,e-,5.88,p,0.93827208816
153,0.125,-1.376,1.132,278.0,deg,deltad4SigLU,0.00213612,nb GeV^-4,0.0017592,0.00109966,CLAS,e-,5.88,p,0.93827208816
154,0.125,-1.377,1.132,293.1,deg,deltad4SigLU,0.000271219,nb GeV^-4,0.00104876,0.000654636,CLAS,e-,5.88,p,0.93827208816
155,0.125,-1.379,1.131,308.2,deg,deltad4SigLU,0.00460143,nb GeV^-4,0.00235073,0.000600884,CLAS,e-,5.88,p,0.93827208816
156,0.126,-1.382,1.13,323.2,deg,deltad4SigLU,-0.00145227,nb GeV^-4,0.00190371,0.00126383,CLAS,e-,5.88,p,0.93827208816
157,0.126,-1.39,1.128,338.1,deg,deltad4SigLU,-0.00582061,nb GeV^-4,0.00251398,0.000706879,CLAS,e-,5.88,p,0.93827208816
158,0.126,-1.398,1.127,352.7,deg,deltad4SigLU,0.00439042,nb GeV^-4,0.0024359,0.000622474,CLAS,e-,5.88,p,0.93827208816
159,0.155,-0.108,1.302,37.7,deg,deltad4SigLU,1.82401,nb GeV^-4,0.454476,0.200304,CLAS,e-,5.88,p,0.93827208816
160,0.154,-0.109,1.298,52.0,deg,deltad4SigLU,0.77345,nb GeV^-4,0.200291,0.087418,CLAS,e-,5.88,p,0.93827208816
161,0.154,-0.109,1.299,67.0,deg,deltad4SigLU,0.77538,nb GeV^-4,0.130935,0.13574,CLAS,e-,5.88,p,0.93827208816
162,0.154,-0.108,1.3,82.1,deg,deltad4SigLU,0.388516,nb GeV^-4,0.0889272,0.0429126,CLAS,e-,5.88,p,0.93827208816
163,0.154,-0.108,1.3,97.1,deg,deltad4SigLU,0.273532,nb GeV^-4,0.0813969,0.0474493,CLAS,e-,5.88,p,0.93827208816
164,0.154,-0.108,1.301,112.2,deg,deltad4SigLU,0.26085,nb GeV^-4,0.0863409,0.0267332,CLAS,e-,5.88,p,0.93827208816
165,0.154,-0.108,1.301,127.3,deg,deltad4SigLU,0.392904,nb GeV^-4,0.107241,0.048967,CLAS,e-,5.88,p,0.93827208816
166,0.154,-0.108,1.301,142.3,deg,deltad4SigLU,-0.064331,nb GeV^-4,0.0767201,0.0406977,CLAS,e-,5.88,p,0.93827208816
167,0.154,-0.108,1.301,157.4,deg,deltad4SigLU,0.0478913,nb GeV^-4,0.0938526,0.0213124,CLAS,e-,5.88,p,0.93827208816
168,0.154,-0.108,1.301,172.5,deg,deltad4SigLU,0.246483,nb GeV^-4,0.0986352,0.0874582,CLAS,e-,5.88,p,0.93827208816
169,0.154,-0.108,1.301,202.6,deg,deltad4SigLU,0.0417946,nb GeV^-4,0.0786901,0.0216014,CLAS,e-,5.88,p,0.93827208816
170,0.154,-0.108,1.301,217.7,deg,deltad4SigLU,-0.222367,nb GeV^-4,0.104959,0.087736,CLAS,e-,5.88,p,0.93827208816
171,0.154,-0.108,1.301,232.7,deg,deltad4SigLU,-0.259336,nb GeV^-4,0.116016,0.0314482,CLAS,e-,5.88,p,0.93827208816
172,0.154,-0.108,1.301,247.8,deg,deltad4SigLU,-0.350236,nb GeV^-4,0.107365,0.109724,CLAS,e-,5.88,p,0.93827208816
173,0.154,-0.108,1.3,262.9,deg,deltad4SigLU,-0.31703,nb GeV^-4,0.10862,0.0466129,CLAS,e-,5.88,p,0.93827208816
