xB,t,Q2,phi,deg/rad,bin,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0.104,-0.129,1.628,67.1,deg,18,d4SigUU,3.8112,nb GeV^-4,0.41643,1.5464,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,82.2,deg,18,d4SigUU,2.2957,nb GeV^-4,0.33453,1.0124,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,103.9,deg,18,d4SigUU,1.5494,nb GeV^-4,0.36718,0.69031,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,127.3,deg,18,d4SigUU,0.96429,nb GeV^-4,0.18236,0.37166,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,142.4,deg,18,d4SigUU,0.91605,nb GeV^-4,0.14108,0.30986,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,157.4,deg,18,d4SigUU,0.50064,nb GeV^-4,0.097358,0.18952,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,180,deg,18,d4SigUU,0.80959,nb GeV^-4,0.15989,0.28896,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,271.3,deg,18,d4SigUU,1.8708,nb GeV^-4,0.30656,0.67438,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,292.9,deg,18,d4SigUU,3.3984,nb GeV^-4,0.39786,1.2697,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,308,deg,18,d4SigUU,4.4215,nb GeV^-4,0.42692,1.647,CLAS,e-,10.6,p,0.938272088
0.104,-0.129,1.628,338.1,deg,18,d4SigUU,11.77,nb GeV^-4,2.0504,4.54,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,36.7,deg,19,d4SigUU,4.1924,nb GeV^-4,0.38271,1.4762,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,51.9,deg,19,d4SigUU,2.0472,nb GeV^-4,0.17515,0.78293,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,67,deg,19,d4SigUU,1.6259,nb GeV^-4,0.12805,0.65432,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,82.1,deg,19,d4SigUU,1.4039,nb GeV^-4,0.15187,0.46619,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,112.3,deg,19,d4SigUU,0.67841,nb GeV^-4,0.12995,0.30296,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,127.3,deg,19,d4SigUU,0.57919,nb GeV^-4,0.058119,0.2021,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,142.4,deg,19,d4SigUU,0.48583,nb GeV^-4,0.040703,0.16532,CLAS,e-,10.6,p,0.938272088
