,xB,t,Q2,phi,bin,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
139,0.125,-0.863,1.131,308.2,7,deg,d4SigUU,0.107006,nb GeV^-4,0.0107861,0.0085556,CLAS,e-,5.88,p,0.938272088
140,0.126,-0.862,1.13,323.2,7,deg,d4SigUU,0.172341,nb GeV^-4,0.0123425,0.0111001,CLAS,e-,5.88,p,0.938272088
141,0.126,-0.86,1.13,338.1,7,deg,d4SigUU,0.266052,nb GeV^-4,0.0131964,0.0171265,CLAS,e-,5.88,p,0.938272088
142,0.126,-0.859,1.13,352.7,7,deg,d4SigUU,0.300045,nb GeV^-4,0.0140718,0.0181897,CLAS,e-,5.88,p,0.938272088
143,0.126,-1.398,1.127,7.3,8,deg,d4SigUU,0.0498203,nb GeV^-4,0.00390924,0.00351328,CLAS,e-,5.88,p,0.938272088
144,0.126,-1.39,1.128,21.9,8,deg,d4SigUU,0.0447819,nb GeV^-4,0.00497646,0.00420731,CLAS,e-,5.88,p,0.938272088
145,0.126,-1.382,1.13,36.8,8,deg,d4SigUU,0.0264628,nb GeV^-4,0.00264436,0.00187297,CLAS,e-,5.88,p,0.938272088
146,0.125,-1.379,1.131,51.8,8,deg,d4SigUU,0.0161826,nb GeV^-4,0.00203871,0.003093,CLAS,e-,5.88,p,0.938272088
147,0.125,-1.377,1.132,66.9,8,deg,d4SigUU,0.0084851,nb GeV^-4,0.00152066,0.00185801,CLAS,e-,5.88,p,0.938272088
148,0.125,-1.376,1.132,82,8,deg,d4SigUU,0.0101125,nb GeV^-4,0.00348003,0.00184189,CLAS,e-,5.88,p,0.938272088
149,0.125,-1.377,1.133,97.1,8,deg,d4SigUU,0.00708365,nb GeV^-4,0.00283992,0.000984961,CLAS,e-,5.88,p,0.938272088
150,0.125,-1.377,1.132,157.3,8,deg,d4SigUU,0.0191967,nb GeV^-4,0.0170112,0.00205979,CLAS,e-,5.88,p,0.938272088
151,0.125,-1.377,1.133,172.5,8,deg,d4SigUU,0.00272545,nb GeV^-4,0.00245686,0.000955398,CLAS,e-,5.88,p,0.938272088
152,0.125,-1.377,1.133,262.9,8,deg,d4SigUU,0.0156057,nb GeV^-4,0.00751085,0.0044364,CLAS,e-,5.88,p,0.938272088
153,0.125,-1.376,1.132,278,8,deg,d4SigUU,0.00922965,nb GeV^-4,0.00195526,0.000595421,CLAS,e-,5.88,p,0.938272088
154,0.125,-1.377,1.132,293.1,8,deg,d4SigUU,0.00710834,nb GeV^-4,0.00119029,0.000742781,CLAS,e-,5.88,p,0.938272088
155,0.125,-1.379,1.131,308.2,8,deg,d4SigUU,0.0142573,nb GeV^-4,0.0026114,0.00217306,CLAS,e-,5.88,p,0.938272088
156,0.126,-1.382,1.13,323.2,8,deg,d4SigUU,0.0172014,nb GeV^-4,0.00230947,0.0013493,CLAS,e-,5.88,p,0.938272088
157,0.126,-1.39,1.128,338.1,8,deg,d4SigUU,0.0403827,nb GeV^-4,0.00321457,0.00303246,CLAS,e-,5.88,p,0.938272088
158,0.126,-1.398,1.127,352.7,8,deg,d4SigUU,0.048442,nb GeV^-4,0.00321058,0.00364823,CLAS,e-,5.88,p,0.938272088
159,0.155,-0.108,1.302,37.7,9,deg,d4SigUU,8.23678,nb GeV^-4,0.598119,0.578312,CLAS,e-,5.88,p,0.938272088
160,0.154,-0.109,1.298,52,9,deg,d4SigUU,5.00441,nb GeV^-4,0.266678,0.323862,CLAS,e-,5.88,p,0.938272088
161,0.154,-0.109,1.299,67,9,deg,d4SigUU,2.64773,nb GeV^-4,0.167406,0.39268,CLAS,e-,5.88,p,0.938272088
162,0.154,-0.108,1.3,82.1,9,deg,d4SigUU,2.07881,nb GeV^-4,0.117202,0.183145,CLAS,e-,5.88,p,0.938272088
163,0.154,-0.108,1.3,97.1,9,deg,d4SigUU,1.67811,nb GeV^-4,0.105728,0.12441,CLAS,e-,5.88,p,0.938272088
164,0.154,-0.108,1.301,112.2,9,deg,d4SigUU,1.40981,nb GeV^-4,0.110559,0.104538,CLAS,e-,5.88,p,0.938272088
165,0.154,-0.108,1.301,127.3,9,deg,d4SigUU,1.0984,nb GeV^-4,0.12855,0.149692,CLAS,e-,5.88,p,0.938272088
166,0.154,-0.108,1.301,142.3,9,deg,d4SigUU,0.980573,nb GeV^-4,0.0970792,0.0793515,CLAS,e-,5.88,p,0.938272088
167,0.154,-0.108,1.301,157.4,9,deg,d4SigUU,1.25728,nb GeV^-4,0.122743,0.0956927,CLAS,e-,5.88,p,0.938272088
168,0.154,-0.108,1.301,172.5,9,deg,d4SigUU,1.04651,nb GeV^-4,0.124711,0.194367,CLAS,e-,5.88,p,0.938272088
169,0.154,-0.108,1.301,202.6,9,deg,d4SigUU,1.11702,nb GeV^-4,0.10238,0.0794058,CLAS,e-,5.88,p,0.938272088
170,0.154,-0.108,1.301,217.7,9,deg,d4SigUU,1.45178,nb GeV^-4,0.137546,0.0997436,CLAS,e-,5.88,p,0.938272088
171,0.154,-0.108,1.301,232.7,9,deg,d4SigUU,1.36759,nb GeV^-4,0.148592,0.13621,CLAS,e-,5.88,p,0.938272088
172,0.154,-0.108,1.301,247.8,9,deg,d4SigUU,1.56236,nb GeV^-4,0.136763,0.127669,CLAS,e-,5.88,p,0.938272088
173,0.154,-0.108,1.3,262.9,9,deg,d4SigUU,2.01608,nb GeV^-4,0.142367,0.262953,CLAS,e-,5.88,p,0.938272088
174,0.154,-0.108,1.3,277.9,9,deg,d4SigUU,2.17606,nb GeV^-4,0.129938,0.164348,CLAS,e-,5.88,p,0.938272088
175,0.154,-0.109,1.299,293,9,deg,d4SigUU,3.3178,nb GeV^-4,0.212158,0.66454,CLAS,e-,5.88,p,0.938272088
176,0.154,-0.109,1.298,308,9,deg,d4SigUU,4.54306,nb GeV^-4,0.231901,0.314016,CLAS,e-,5.88,p,0.938272088
177,0.155,-0.108,1.302,322.3,9,deg,d4SigUU,5.52355,nb GeV^-4,0.374576,0.408638,CLAS,e-,5.88,p,0.938272088
178,0.154,-0.153,1.299,51.9,10,deg,d4SigUU,3.04542,nb GeV^-4,0.133277,0.187298,CLAS,e-,5.88,p,0.938272088
